schoolName,longitude,latitude
Cazenovia College,-75.8541481,42.9320977
Cedar Crest College,-75.5196631,40.5859377
Cedarville University,-83.8129391,39.7496476
Centenary College,-93.73215560000001,32.4847432
Central College,-92.91966699999999,41.400595
Central Connecticut State University,-72.764167,41.693255
Central Methodist University-College of Liberal Arts and Sciences,-92.6839663,39.1514905
Central Michigan University,-84.7756364,43.5819086
Central State University,-83.8772323,39.7163802
Central Washington University,-120.5357265,47.0068755
Centre College,-84.7815059,37.6456916
Chaminade University of Honolulu,-157.8073979,21.2905834
Champlain College,-73.2041352,44.4731165
Chapman University,-117.8513503,33.7933476
Charleston Southern University,-80.07065539999999,32.9821829
Chestnut Hill College,-75.2289686,40.0852572
Chicago State University,-87.6093736,41.7179575
Chowan University,-77.09697589999999,36.4354563
Christian Brothers University,-89.9810643,35.1285367
Christopher Newport University,-76.4944131,37.064674
Citadel Military College of South Carolina,-79.9606739,32.797075
Claflin University,-80.85322510000002,33.4988288
Claremont McKenna College,-117.7079219,34.10177669999999
Clarion University of Pennsylvania,-79.3787136,41.2089191
Clark Atlanta University,-84.4112315,33.7515658
Clark University,-71.8234038,42.2520314
Clarkson University,-74.998544,44.66376109999999
Clayton State University,-84.3296199,33.594355
Clemson University,-82.8366374,34.6761105
Cleveland State University,-81.6747185,41.50249729999999
Coastal Carolina University,-79.01173,33.7949658
Coe College,-91.6591287,41.9884283
Coker College,-80.0704915,34.3765882
Colby College,-69.6626362,44.5638691
Colby-Sawyer College,-71.978033,43.412062
Colgate University,-75.53943799999999,42.8164607
College for Creative Studies,-83.0627864,42.3613975
College of Charleston,-79.93708869999999,32.7841884
College of Mount Saint Vincent,-73.9030113,40.9124186
College of Mount St Joseph,-84.6378845,39.0951636
College of Our Lady of the Elms,-72.6016769,42.1422257
College of Saint Benedict,-94.39428819999999,45.5813035
College of Staten Island CUNY,-74.14969839999999,40.6016362
College of the Holy Cross,-71.8079608,42.2392391
College of the Ozarks,-93.23937889999999,36.6163199
College of William and Mary,-76.71337799999999,37.271674
Colorado Christian University,-105.0945084,39.7125682
Colorado College,-104.824394,38.846594
Colorado Mesa University,-108.5543371,39.0808594
Colorado School of Mines,-105.2225705,39.7510136
Colorado State University-Fort Collins,-105.0865473,40.573436
Colorado State University-Pueblo,-104.5760394,38.30854
Columbia College-Chicago,-87.62483379999999,41.8742327
Columbia University in the City of New York,-73.9625727,40.8075355
Columbus College of Art and Design,-82.990025,39.964885
Columbus State University,-84.941446,32.5023087
Concord University,-81.00604899999999,37.42475750000001
Concordia College at Moorhead,-96.7700579,46.8628042
Concordia University-Chicago,-87.8095357,41.8997104
Concordia University-Irvine,-117.8109393,33.653585
Concordia University-Nebraska,-97.0896219,40.91437120000001
Concordia University-Portland,-122.6366533,45.5698823
Concordia University-Saint Paul,-93.1565816,44.9490553
Concordia University-Texas,-97.8362821,30.4209405
Concordia University-Wisconsin,-87.915531,43.2541994
Connecticut College,-72.104025,41.3788405
Coppin State University,-76.65790559999999,39.3126142
Cornell College,-91.4253502,41.92695459999999
Cornell University,-76.4735027,42.4534492
Cornerstone University,-85.59586879999999,42.98105959999999
Covenant College,-85.3751114,34.9646194
Creighton University,-95.94719189999999,41.2653105
Crown College,-93.74328299999999,44.885679
Cumberland University,-86.2987567,36.2046241
CUNY Bernard M Baruch College,-73.9831567,40.7404873
CUNY Brooklyn College,-73.9522653,40.6312576
CUNY City College,-73.9492724,40.8200471
CUNY Hunter College,-73.9644936,40.7682912
CUNY John Jay College of Criminal Justice,-73.9884684,40.7704272
CUNY Lehman College,-73.8941395,40.87331830000001
CUNY Queens College,-73.8160795,40.7362341
CUNY York College,-73.7961018,40.7010295
Curry College,-71.1111665,42.2353087
Daemen College,-78.78843839999999,42.9648902
Dakota State University,-97.1117383,44.0124808
Dallas Baptist University,-96.9469709,32.7092292
Dartmouth College,-72.2886935,43.7044406
Davenport University,-85.530676,42.84939199999999
Davidson College,-80.8446725,35.5008018
Delaware State University,-75.5422735,39.1861372
Delaware Valley College,-75.15994289999999,40.2982282
Delta State University,-90.7354508,33.7453784
Denison University,-82.52290479999999,40.0734008
DePaul University,-87.6272177,41.8775722
DePauw University,-86.86289459999999,39.6393943
DeSales University,-75.3792986,40.5387807
Dickinson College,-77.197232,40.2027214
Dickinson State University,-102.8003875,46.8825426
Dillard University,-90.0662662,29.9966395
Doane College-Crete,-96.95096699999999,40.622954
Dominican College of Blauvelt,-73.9505947,41.0471959
Dominican University,-87.8220588,41.9024125
Dominican University of California,-122.5122844,37.9799909
Dordt College,-96.16636079999999,43.0824829
Dowling College,-73.1481218,40.7422255
Drake University,-93.65529839999999,41.6029128
Drew University,-74.4247985,40.7644676
Drexel University,-75.18994409999999,39.9566127
Drury University,-93.2856671,37.2205818
Duke University,-78.9382286,36.0014258
Duquesne University,-79.99058629999999,40.4374516
D'Youville College,-78.89082669999999,42.9025804
Earlham College,-84.913241,39.823941
East Carolina University,-77.3645653,35.6055108
East Central University,-96.66077279999999,34.7733388
East Stroudsburg University of Pennsylvania,-75.172533,40.9970909
East Tennessee State University,-82.3701933,36.3025374
East Texas Baptist University,-94.3734369,32.5558104
Eastern Connecticut State University,-72.2177529,41.721443
Eastern Illinois University,-88.17515069999999,39.4836717
Eastern Kentucky University,-84.298672,37.7353214
Eastern Mennonite University,-78.87739719999999,38.4726203
Eastern Michigan University,-83.624089,42.2506803
Eastern New Mexico University-Main Campus,-103.3484264,34.1777872
Eastern Oregon University,-118.0913683,45.3211449
Eastern University,-75.3704606,40.0517099
Eastern Washington University,-117.5860889,47.49059279999999
Eckerd College,-82.68816,27.715886
Edgewood College,-89.423378,43.060689
Edinboro University of Pennsylvania,-80.12080279999999,41.871572
Elizabeth City State University,-76.2139598,36.281065
Elizabethtown College,-76.589792,40.1503251
Elmhurst College,-87.945605,41.895871
Elmira College,-76.81537050000001,42.0967817
Elon University,-79.50235669999999,36.1027527
